Summary, Assignee, Reporter, Issue Type, Description, Priority
Bugzilla can be abused by spammers,dev1,customer_care,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",1
Add the ability to disable sending of mail when admin config changes (eg deleting a flag type) result in changes to bugs,dev1,tester1,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",2
Account History truncates overly long field data,dev1,tester1,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",3
Do not let admins delete custom fields with SQLite as DB server,dev1,tester1,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",4
"When configuring sslbase with an IPv6 only DNS label, bugzilla fails to resolve the hostname",dev1,tester1,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",1
"When editing a user account, the list of groups is broken if it has both LTR and RTL type group names with descriptions having identical directionality",dev1,tester1,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",2
"When creating a new custom field, values in the Type select field are sorted randomly",dev1,tester1,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",3
Per-product editcomponents allows users to see ALL groups,dev1,tester1,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",4
Custom fields with an illegal type can be created,dev1,tester1,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",1
Changes to group access controls are not logged,dev1,tester1,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",2
Failed to bind to the LDAP server. The error message was: Bad file descriptor,dev1,tester1,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",3
Active Directory incompatibility: LDAPBaseDN cannot be empty,dev1,tester1,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",4
creating a version should invalidate the product's cached version list,dev1,tester1,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",1
The description for the system groups is not localizable,dev1,tester1,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",2
Bugzilla cannot be used in different virtual hosts because urlbase is used to build static links,dev1,tester1,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",3
Log changes to default preferences,dev1,tester1,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",4
edit flag types should at least offer Create Flag Type for Bugs at the bottom next to Create Flag Type For Attachments,dev1,tester1,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",1
need undo / audit-trail for vandalism cleanup,dev1,tester1,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",2
Not possible to globally disable (Personal) Tags in an installation anymore,dev1,tester1,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",3
Group Administration via interface should error if regular expression size is greater than column length,dev1,tester1,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",4
Cannot change the permission requirement for a disabled group,dev1,tester1,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",1
"When creating or editing a component, make sure that the default assignee, QA contact and CC list are allowed to edit bugs if strict_isolation is enabled",dev1,tester1,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",2
"editflags creates a space-separated list instead of a comma-separated list, in the UI",dev1,customer_care,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",4
"When starting a sudo session, Firefox passes your credentials to the form, despite it shouldn't",dev1,customer_care,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",1
globalwatchers param needs to explicitly state that it enforces bug viewing privileges,dev1,customer_care,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",1
"Forbids the default milestone from being marked as inactive, and forbids to choose an inactive milestone as the default one",dev1,customer_care,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",2
User account log should use consistent date formatting,dev1,customer_care,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",3
Possible race condition in adding custom fields,dev1,customer_care,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",4
Creategroups allows the user to make themselves an admin,dev1,customer_care,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",
target milestone creation shouldn't accept newline characters,dev2,customer_care,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",1
the layout in editflagtypes.cgi needs to be fixed so that it doesn't jump around,dev2,customer_care,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",2
OtherControl=SHOWN needs better on-page description,dev2,customer_care,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",3
inconsistent case of component in title for select/delete component,dev2,customer_care,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",4
describekeywords and editkeywords have different column orders,dev2,customer_care,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",1
Possibly wrong documentation for once vs. onepass in jobqueue.pl,dev2,customer_care,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",2
"The sudo session UI lists all active users, even those who cannot be impersonated",dev2,customer_care,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",3
jobqueue.pl doesn't release the terminal when it forks,dev2,customer_care,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",4
Cannot set a new product version or milestone to 0,dev2,customer_care,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",1
Group userregexps length limit is too small,dev2,customer_care,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",2
The 'mybugstemplate' parameter is not filtered in templates (and its default value should use & instead of &amp;),dev2,customer_care,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",3
Anonymous LDAP failure reports user/pass not found with MS-AD,dev2,customer_care,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",4
Prevent user account creation from editusers.cgi if DB is set as inactive in user_verify_class,dev2,customer_care,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",1
Software error when granting a user access to a large number of groups,dev2,customer_care,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",2
uninitialized values in editwhines when adding a new schedule to an existing event,dev2,customer_care,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",3
Possible product name leakage when deleting user accounts,dev2,tester2,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",4
English hardcoded string in Config/Auth.pm,dev2,tester2,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",1
Explanation on editgroups.cgi could incorrectly say a checkbox is check by default,dev2,tester2,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",2
Remove the unused DEFAULT_CLASSIFICATION_ID constant,dev2,tester2,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",3
sort key description on editflagtypes.cgi is poorly written,dev2,tester2,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",4
Parameters should default to the index not Required Settings,dev2,tester2,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",1
Column names of groups.isactive and groups.isbuggroup are confusing,dev2,tester2,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",2
Inconsistancy with __All__ and __Any__ in Administer Flag Types,dev2,tester2,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",4
Description of 'letsubmitterchoosepriority' is misleading,dev2,tester2,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",1
No confirmation message appears while performing reclassification,dev2,tester2,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",1
The name bz_canusewhineatothers is difficult to read,dev2,tester2,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",2
don't offer to go back to the user list if there wasn't one,dev2,tester2,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",3
it would be nice if editflag group selection provided a way to do ad hoc groups,dev2,tester2,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",4
sanitycheck should warn if the attachments table is near full,dev2,tester2,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",
Please add a page for bulk-loading components into a product,dev3,tester2,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",
"When editing the bug status workflow, throw an error if a product has allow UNCONFIRMED disabled and UNCONFIRMED is the only allowed bug status for new bugs",dev3,tester2,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",
provide a merge users feature based on mergeusers.pl,dev3,tester2,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",
editcomponents.cgi should make use of ->set_all,dev3,tester2,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",
editflagtypes.cgi should use ->set_all,dev3,tester2,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",
there probably isn't and should be a way to view restrictions from the editflagtypes page,dev3,tester2,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",1
Do not ask the admin to confirm the deletion of a custom field if it cannot be deleted,dev3,tester2,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",2
LDAP: authentication should allow sslversion parameter (or any other parameters for Net::LDAP->new()),dev3,tester2,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",3
Ability to edit/update quips without losing the submitter info,dev3,tester2,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",4
Filter not saved when returning to editflagtypes.cgi after editing a flagtype,dev3,tester2,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",1
editkeywords.cgi: Ability to merge two keywords,dev3,tester2,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",2
Ability to disable/enable QA Contact field per component,dev3,tester2,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",3
shutdownhtml and announcehtml need validation or preview,dev3,tester2,1,"While trying to start apache by apachectl -k start, Apache 2.2.3 does not give",4
